2026-02-03 00:06:47.345917 -Reason : Allowed Packet : 192.168.0.139 - Packet :{'source_ip': '192.168.0.139', 'destination_ip': '10.10.180.254', 'port': 18709, 'protocol': 'UDP'} 
2026-02-03 00:07:01.417573 -Reason : Allowed Packet : 192.168.32.129 - Packet :{'source_ip': '192.168.32.129', 'destination_ip': '10.10.100.76', 'port': 47775, 'protocol': 'ICMP'} 
2026-02-03 00:07:01.755259 -Reason : Allowed Packet : 192.168.79.120 - Packet :{'source_ip': '192.168.79.120', 'destination_ip': '10.10.211.172', 'port': 62485, 'protocol': 'ICMP'} 
2026-02-03 00:07:02.426815 -Reason : Allowed Packet : 192.168.249.83 - Packet :{'source_ip': '192.168.249.83', 'destination_ip': '10.10.93.182', 'port': 17178, 'protocol': 'ICMP'} 
2026-02-03 00:07:02.756501 -Reason : Allowed Packet : 192.168.207.50 - Packet :{'source_ip': '192.168.207.50', 'destination_ip': '10.10.216.177', 'port': 52955, 'protocol': 'UDP'} 
2026-02-03 00:07:03.427981 -Reason : Allowed Packet : 192.168.145.246 - Packet :{'source_ip': '192.168.145.246', 'destination_ip': '10.10.122.236', 'port': 26307, 'protocol': 'ICMP'} 
2026-02-03 00:07:03.759215 -Reason : Allowed Packet : 192.168.31.152 - Packet :{'source_ip': '192.168.31.152', 'destination_ip': '10.10.71.163', 'port': 63002, 'protocol': 'UDP'} 
2026-02-03 00:07:04.430683 -Reason : Allowed Packet : 192.168.87.18 - Packet :{'source_ip': '192.168.87.18', 'destination_ip': '10.10.239.253', 'port': 48236, 'protocol': 'TCP'} 
2026-02-03 00:07:04.761915 -Reason : Allowed Packet : 192.168.161.78 - Packet :{'source_ip': '192.168.161.78', 'destination_ip': '10.10.110.245', 'port': 53775, 'protocol': 'UDP'} 
2026-02-03 00:07:05.432235 -Reason : Allowed Packet : 192.168.24.139 - Packet :{'source_ip': '192.168.24.139', 'destination_ip': '10.10.73.210', 'port': 28787, 'protocol': 'TCP'} 
2026-02-03 00:07:05.763753 -Reason : Allowed Packet : 192.168.122.171 - Packet :{'source_ip': '192.168.122.171', 'destination_ip': '10.10.180.68', 'port': 36082, 'protocol': 'TCP'} 
2026-02-03 00:07:06.434758 -Reason : Allowed Packet : 192.168.124.105 - Packet :{'source_ip': '192.168.124.105', 'destination_ip': '10.10.46.214', 'port': 32585, 'protocol': 'UDP'} 
2026-02-03 00:07:06.765973 -Reason : Allowed Packet : 192.168.232.85 - Packet :{'source_ip': '192.168.232.85', 'destination_ip': '10.10.158.138', 'port': 39623, 'protocol': 'UDP'} 
2026-02-03 00:07:07.435752 -Reason : Allowed Packet : 192.168.15.207 - Packet :{'source_ip': '192.168.15.207', 'destination_ip': '10.10.4.165', 'port': 6489, 'protocol': 'ICMP'} 
2026-02-03 00:07:07.769117 -Reason : Allowed Packet : 192.168.219.234 - Packet :{'source_ip': '192.168.219.234', 'destination_ip': '10.10.132.138', 'port': 42137, 'protocol': 'UDP'} 
2026-02-03 00:07:08.440953 -Reason : Allowed Packet : 192.168.56.13 - Packet :{'source_ip': '192.168.56.13', 'destination_ip': '10.10.159.81', 'port': 63473, 'protocol': 'ICMP'} 
2026-02-03 00:07:08.772017 -Reason : Allowed Packet : 192.168.124.154 - Packet :{'source_ip': '192.168.124.154', 'destination_ip': '10.10.177.132', 'port': 3945, 'protocol': 'ICMP'} 
2026-02-03 00:07:09.443550 -Reason : Allowed Packet : 192.168.81.0 - Packet :{'source_ip': '192.168.81.0', 'destination_ip': '10.10.49.134', 'port': 31297, 'protocol': 'TCP'} 
2026-02-03 00:07:09.774757 -Reason : Allowed Packet : 192.168.18.165 - Packet :{'source_ip': '192.168.18.165', 'destination_ip': '10.10.10.219', 'port': 16334, 'protocol': 'UDP'} 
2026-02-03 00:07:10.445735 -Reason : Allowed Packet : 192.168.221.136 - Packet :{'source_ip': '192.168.221.136', 'destination_ip': '10.10.115.24', 'port': 59789, 'protocol': 'ICMP'} 
2026-02-03 00:07:10.777151 -Reason : Allowed Packet : 192.168.199.122 - Packet :{'source_ip': '192.168.199.122', 'destination_ip': '10.10.232.36', 'port': 39602, 'protocol': 'ICMP'} 
2026-02-03 00:07:11.446898 -Reason : Allowed Packet : 192.168.133.9 - Packet :{'source_ip': '192.168.133.9', 'destination_ip': '10.10.140.140', 'port': 38460, 'protocol': 'TCP'} 
2026-02-03 00:07:11.781223 -Reason : Allowed Packet : 192.168.56.211 - Packet :{'source_ip': '192.168.56.211', 'destination_ip': '10.10.34.113', 'port': 33746, 'protocol': 'ICMP'} 
2026-02-03 00:07:12.448436 -Reason : Allowed Packet : 192.168.35.177 - Packet :{'source_ip': '192.168.35.177', 'destination_ip': '10.10.170.147', 'port': 12483, 'protocol': 'ICMP'} 
2026-02-03 00:07:12.783828 -Reason : Allowed Packet : 192.168.119.119 - Packet :{'source_ip': '192.168.119.119', 'destination_ip': '10.10.218.30', 'port': 57469, 'protocol': 'ICMP'} 
2026-02-03 00:07:13.451434 -Reason : Allowed Packet : 192.168.146.82 - Packet :{'source_ip': '192.168.146.82', 'destination_ip': '10.10.46.61', 'port': 33749, 'protocol': 'UDP'} 
2026-02-03 00:07:13.784604 -Reason : Allowed Packet : 192.168.194.252 - Packet :{'source_ip': '192.168.194.252', 'destination_ip': '10.10.123.95', 'port': 22688, 'protocol': 'ICMP'} 
2026-02-03 00:07:14.453141 -Reason : Allowed Packet : 192.168.171.203 - Packet :{'source_ip': '192.168.171.203', 'destination_ip': '10.10.168.94', 'port': 5218, 'protocol': 'ICMP'} 
2026-02-03 00:07:14.786684 -Reason : Allowed Packet : 192.168.64.184 - Packet :{'source_ip': '192.168.64.184', 'destination_ip': '10.10.198.166', 'port': 28898, 'protocol': 'TCP'} 
2026-02-03 00:07:15.454551 -Reason : Allowed Packet : 192.168.221.86 - Packet :{'source_ip': '192.168.221.86', 'destination_ip': '10.10.253.212', 'port': 18610, 'protocol': 'TCP'} 
2026-02-03 00:07:15.787574 -Reason : Allowed Packet : 192.168.6.57 - Packet :{'source_ip': '192.168.6.57', 'destination_ip': '10.10.79.155', 'port': 9124, 'protocol': 'UDP'} 
2026-02-03 00:07:16.458269 -Reason : Allowed Packet : 192.168.120.239 - Packet :{'source_ip': '192.168.120.239', 'destination_ip': '10.10.116.209', 'port': 25416, 'protocol': 'TCP'} 
2026-02-03 00:07:16.790377 -Reason : Allowed Packet : 192.168.147.209 - Packet :{'source_ip': '192.168.147.209', 'destination_ip': '10.10.56.218', 'port': 11231, 'protocol': 'TCP'} 
2026-02-03 00:07:17.459458 -Reason : Allowed Packet : 192.168.34.43 - Packet :{'source_ip': '192.168.34.43', 'destination_ip': '10.10.149.126', 'port': 6240, 'protocol': 'UDP'} 
2026-02-03 00:07:17.793365 -Reason : Allowed Packet : 192.168.201.211 - Packet :{'source_ip': '192.168.201.211', 'destination_ip': '10.10.176.1', 'port': 65505, 'protocol': 'TCP'} 
2026-02-03 00:07:18.461839 -Reason : Allowed Packet : 192.168.73.102 - Packet :{'source_ip': '192.168.73.102', 'destination_ip': '10.10.178.21', 'port': 43041, 'protocol': 'ICMP'} 
2026-02-03 00:07:18.796590 -Reason : Allowed Packet : 192.168.227.243 - Packet :{'source_ip': '192.168.227.243', 'destination_ip': '10.10.100.31', 'port': 44973, 'protocol': 'TCP'} 
2026-02-03 00:07:19.464234 -Reason : Allowed Packet : 192.168.28.144 - Packet :{'source_ip': '192.168.28.144', 'destination_ip': '10.10.85.231', 'port': 41168, 'protocol': 'TCP'} 
2026-02-03 00:07:19.800146 -Reason : Allowed Packet : 192.168.93.121 - Packet :{'source_ip': '192.168.93.121', 'destination_ip': '10.10.39.62', 'port': 16898, 'protocol': 'UDP'} 
2026-02-03 00:07:20.466351 -Reason : Allowed Packet : 192.168.174.241 - Packet :{'source_ip': '192.168.174.241', 'destination_ip': '10.10.72.64', 'port': 4690, 'protocol': 'UDP'} 
2026-02-03 00:07:20.805619 -Reason : Allowed Packet : 192.168.95.103 - Packet :{'source_ip': '192.168.95.103', 'destination_ip': '10.10.220.34', 'port': 974, 'protocol': 'TCP'} 
2026-02-03 00:07:21.468264 -Reason : Allowed Packet : 192.168.217.111 - Packet :{'source_ip': '192.168.217.111', 'destination_ip': '10.10.162.0', 'port': 29047, 'protocol': 'TCP'} 
2026-02-03 00:07:21.807242 -Reason : Allowed Packet : 192.168.163.169 - Packet :{'source_ip': '192.168.163.169', 'destination_ip': '10.10.180.235', 'port': 22907, 'protocol': 'ICMP'} 
2026-02-03 00:07:22.472732 -Reason : Allowed Packet : 192.168.248.157 - Packet :{'source_ip': '192.168.248.157', 'destination_ip': '10.10.145.136', 'port': 32314, 'protocol': 'TCP'} 
2026-02-03 00:07:22.809566 -Reason : Allowed Packet : 192.168.60.25 - Packet :{'source_ip': '192.168.60.25', 'destination_ip': '10.10.68.233', 'port': 13013, 'protocol': 'ICMP'} 
2026-02-03 00:07:23.474971 -Reason : Allowed Packet : 192.168.110.154 - Packet :{'source_ip': '192.168.110.154', 'destination_ip': '10.10.45.135', 'port': 25417, 'protocol': 'TCP'} 
2026-02-03 00:07:23.813489 -Reason : Allowed Packet : 192.168.220.105 - Packet :{'source_ip': '192.168.220.105', 'destination_ip': '10.10.35.144', 'port': 51047, 'protocol': 'ICMP'} 
2026-02-03 00:07:24.477791 -Reason : Allowed Packet : 192.168.214.91 - Packet :{'source_ip': '192.168.214.91', 'destination_ip': '10.10.66.136', 'port': 56844, 'protocol': 'TCP'} 
2026-02-03 00:07:24.816255 -Reason : Allowed Packet : 192.168.9.119 - Packet :{'source_ip': '192.168.9.119', 'destination_ip': '10.10.115.11', 'port': 12422, 'protocol': 'UDP'} 
2026-02-03 00:07:25.479678 -Reason : Allowed Packet : 192.168.42.86 - Packet :{'source_ip': '192.168.42.86', 'destination_ip': '10.10.80.135', 'port': 50913, 'protocol': 'TCP'} 
2026-02-03 00:07:25.818519 -Reason : Allowed Packet : 192.168.62.230 - Packet :{'source_ip': '192.168.62.230', 'destination_ip': '10.10.182.116', 'port': 30305, 'protocol': 'UDP'} 
2026-02-03 00:07:26.481972 -Reason : Allowed Packet : 192.168.165.127 - Packet :{'source_ip': '192.168.165.127', 'destination_ip': '10.10.204.247', 'port': 32116, 'protocol': 'UDP'} 
2026-02-03 00:07:26.820566 -Reason : Allowed Packet : 192.168.25.78 - Packet :{'source_ip': '192.168.25.78', 'destination_ip': '10.10.32.188', 'port': 38787, 'protocol': 'UDP'} 
2026-02-03 00:07:27.484436 -Reason : Allowed Packet : 192.168.61.36 - Packet :{'source_ip': '192.168.61.36', 'destination_ip': '10.10.163.60', 'port': 13356, 'protocol': 'ICMP'} 
2026-02-03 00:07:27.823239 -Reason : Allowed Packet : 192.168.181.104 - Packet :{'source_ip': '192.168.181.104', 'destination_ip': '10.10.7.10', 'port': 7057, 'protocol': 'ICMP'} 
2026-02-03 00:07:28.487217 -Reason : Allowed Packet : 192.168.34.201 - Packet :{'source_ip': '192.168.34.201', 'destination_ip': '10.10.189.85', 'port': 286, 'protocol': 'TCP'} 
2026-02-03 00:07:28.825022 -Reason : Allowed Packet : 192.168.132.11 - Packet :{'source_ip': '192.168.132.11', 'destination_ip': '10.10.149.75', 'port': 10636, 'protocol': 'TCP'} 
2026-02-03 00:07:29.487799 -Reason : Allowed Packet : 192.168.153.86 - Packet :{'source_ip': '192.168.153.86', 'destination_ip': '10.10.38.121', 'port': 62280, 'protocol': 'UDP'} 
2026-02-03 00:07:29.826908 -Reason : Allowed Packet : 192.168.181.159 - Packet :{'source_ip': '192.168.181.159', 'destination_ip': '10.10.231.153', 'port': 3288, 'protocol': 'TCP'} 
2026-02-03 00:07:30.491402 -Reason : Allowed Packet : 192.168.75.62 - Packet :{'source_ip': '192.168.75.62', 'destination_ip': '10.10.86.76', 'port': 9139, 'protocol': 'UDP'} 
2026-02-03 00:07:30.829899 -Reason : Allowed Packet : 192.168.199.36 - Packet :{'source_ip': '192.168.199.36', 'destination_ip': '10.10.40.160', 'port': 44866, 'protocol': 'UDP'} 
2026-02-03 00:07:31.494231 -Reason : Allowed Packet : 192.168.46.189 - Packet :{'source_ip': '192.168.46.189', 'destination_ip': '10.10.221.125', 'port': 44476, 'protocol': 'ICMP'} 
2026-02-03 00:07:31.831955 -Reason : Allowed Packet : 192.168.55.55 - Packet :{'source_ip': '192.168.55.55', 'destination_ip': '10.10.111.44', 'port': 47181, 'protocol': 'TCP'} 
2026-02-03 00:07:32.498148 -Reason : Allowed Packet : 192.168.218.121 - Packet :{'source_ip': '192.168.218.121', 'destination_ip': '10.10.62.108', 'port': 28974, 'protocol': 'TCP'} 
2026-02-03 00:07:32.833724 -Reason : Allowed Packet : 192.168.95.6 - Packet :{'source_ip': '192.168.95.6', 'destination_ip': '10.10.64.44', 'port': 9820, 'protocol': 'UDP'} 
2026-02-03 00:07:33.501394 -Reason : Allowed Packet : 192.168.244.76 - Packet :{'source_ip': '192.168.244.76', 'destination_ip': '10.10.239.146', 'port': 51637, 'protocol': 'ICMP'} 
2026-02-03 00:07:33.838622 -Reason : Allowed Packet : 192.168.230.138 - Packet :{'source_ip': '192.168.230.138', 'destination_ip': '10.10.24.19', 'port': 35579, 'protocol': 'ICMP'} 
2026-02-03 00:07:34.504402 -Reason : Allowed Packet : 192.168.237.214 - Packet :{'source_ip': '192.168.237.214', 'destination_ip': '10.10.68.17', 'port': 40363, 'protocol': 'UDP'} 
2026-02-03 00:07:34.840808 -Reason : Allowed Packet : 192.168.184.36 - Packet :{'source_ip': '192.168.184.36', 'destination_ip': '10.10.124.55', 'port': 28781, 'protocol': 'ICMP'} 
2026-02-03 00:07:35.506290 -Reason : Allowed Packet : 192.168.143.65 - Packet :{'source_ip': '192.168.143.65', 'destination_ip': '10.10.90.137', 'port': 3877, 'protocol': 'TCP'} 
2026-02-03 00:07:35.844332 -Reason : Allowed Packet : 192.168.131.147 - Packet :{'source_ip': '192.168.131.147', 'destination_ip': '10.10.239.214', 'port': 44575, 'protocol': 'UDP'} 
2026-02-03 00:07:36.509200 -Reason : Allowed Packet : 192.168.160.199 - Packet :{'source_ip': '192.168.160.199', 'destination_ip': '10.10.80.108', 'port': 5874, 'protocol': 'ICMP'} 
2026-02-03 00:07:36.846537 -Reason : Allowed Packet : 192.168.211.155 - Packet :{'source_ip': '192.168.211.155', 'destination_ip': '10.10.148.208', 'port': 17934, 'protocol': 'UDP'} 
2026-02-03 00:07:37.514941 -Reason : Allowed Packet : 192.168.102.46 - Packet :{'source_ip': '192.168.102.46', 'destination_ip': '10.10.218.63', 'port': 49836, 'protocol': 'ICMP'} 
2026-02-03 00:07:37.850264 -Reason : Allowed Packet : 192.168.3.216 - Packet :{'source_ip': '192.168.3.216', 'destination_ip': '10.10.45.106', 'port': 20548, 'protocol': 'UDP'} 
2026-02-03 00:07:38.517734 -Reason : Allowed Packet : 192.168.246.218 - Packet :{'source_ip': '192.168.246.218', 'destination_ip': '10.10.120.235', 'port': 62167, 'protocol': 'TCP'} 
2026-02-03 00:07:38.854561 -Reason : Allowed Packet : 192.168.120.177 - Packet :{'source_ip': '192.168.120.177', 'destination_ip': '10.10.176.238', 'port': 46800, 'protocol': 'ICMP'} 
2026-02-03 00:07:39.521442 -Reason : Allowed Packet : 192.168.9.205 - Packet :{'source_ip': '192.168.9.205', 'destination_ip': '10.10.229.251', 'port': 21965, 'protocol': 'ICMP'} 
2026-02-03 00:07:39.859546 -Reason : Allowed Packet : 192.168.210.209 - Packet :{'source_ip': '192.168.210.209', 'destination_ip': '10.10.105.209', 'port': 61823, 'protocol': 'ICMP'} 
2026-02-03 00:07:40.526256 -Reason : Allowed Packet : 192.168.32.131 - Packet :{'source_ip': '192.168.32.131', 'destination_ip': '10.10.129.59', 'port': 56206, 'protocol': 'UDP'} 
2026-02-03 00:07:40.861031 -Reason : Allowed Packet : 192.168.241.195 - Packet :{'source_ip': '192.168.241.195', 'destination_ip': '10.10.101.165', 'port': 50968, 'protocol': 'UDP'} 
2026-02-03 00:07:41.528865 -Reason : Allowed Packet : 192.168.92.118 - Packet :{'source_ip': '192.168.92.118', 'destination_ip': '10.10.196.207', 'port': 7968, 'protocol': 'TCP'} 
2026-02-03 00:07:41.865959 -Reason : Allowed Packet : 192.168.177.22 - Packet :{'source_ip': '192.168.177.22', 'destination_ip': '10.10.76.232', 'port': 19634, 'protocol': 'ICMP'} 
2026-02-03 00:07:42.532129 -Reason : Allowed Packet : 192.168.137.230 - Packet :{'source_ip': '192.168.137.230', 'destination_ip': '10.10.48.143', 'port': 49199, 'protocol': 'ICMP'} 
2026-02-03 00:07:42.868131 -Reason : Allowed Packet : 192.168.104.112 - Packet :{'source_ip': '192.168.104.112', 'destination_ip': '10.10.23.179', 'port': 4379, 'protocol': 'TCP'} 
2026-02-03 00:07:43.534719 -Reason : Allowed Packet : 192.168.107.84 - Packet :{'source_ip': '192.168.107.84', 'destination_ip': '10.10.145.167', 'port': 23754, 'protocol': 'TCP'} 
2026-02-03 00:07:43.873053 -Reason : Allowed Packet : 192.168.106.226 - Packet :{'source_ip': '192.168.106.226', 'destination_ip': '10.10.136.41', 'port': 7846, 'protocol': 'UDP'} 
2026-02-03 00:07:44.538227 -Reason : Allowed Packet : 192.168.57.75 - Packet :{'source_ip': '192.168.57.75', 'destination_ip': '10.10.167.112', 'port': 29424, 'protocol': 'ICMP'} 
2026-02-03 00:07:44.877421 -Reason : Allowed Packet : 192.168.149.248 - Packet :{'source_ip': '192.168.149.248', 'destination_ip': '10.10.38.16', 'port': 37577, 'protocol': 'TCP'} 
2026-02-03 00:07:45.544403 -Reason : Allowed Packet : 192.168.42.244 - Packet :{'source_ip': '192.168.42.244', 'destination_ip': '10.10.193.158', 'port': 7306, 'protocol': 'UDP'} 
2026-02-03 00:07:45.881546 -Reason : Allowed Packet : 192.168.217.15 - Packet :{'source_ip': '192.168.217.15', 'destination_ip': '10.10.164.189', 'port': 30209, 'protocol': 'TCP'} 
2026-02-03 00:07:46.548506 -Reason : Allowed Packet : 192.168.251.167 - Packet :{'source_ip': '192.168.251.167', 'destination_ip': '10.10.15.168', 'port': 18293, 'protocol': 'ICMP'} 
2026-02-03 00:07:46.885759 -Reason : Allowed Packet : 192.168.9.144 - Packet :{'source_ip': '192.168.9.144', 'destination_ip': '10.10.166.126', 'port': 15920, 'protocol': 'ICMP'} 
2026-02-03 00:07:47.551575 -Reason : Allowed Packet : 192.168.93.50 - Packet :{'source_ip': '192.168.93.50', 'destination_ip': '10.10.238.17', 'port': 18554, 'protocol': 'ICMP'} 
2026-02-03 00:07:47.891521 -Reason : Allowed Packet : 192.168.68.107 - Packet :{'source_ip': '192.168.68.107', 'destination_ip': '10.10.117.42', 'port': 33678, 'protocol': 'UDP'} 
2026-02-03 00:07:48.555852 -Reason : Allowed Packet : 192.168.171.153 - Packet :{'source_ip': '192.168.171.153', 'destination_ip': '10.10.208.135', 'port': 26316, 'protocol': 'ICMP'} 
2026-02-03 00:07:48.895336 -Reason : Allowed Packet : 192.168.79.17 - Packet :{'source_ip': '192.168.79.17', 'destination_ip': '10.10.158.24', 'port': 21872, 'protocol': 'ICMP'} 
2026-02-03 00:07:49.560572 -Reason : Allowed Packet : 192.168.213.241 - Packet :{'source_ip': '192.168.213.241', 'destination_ip': '10.10.134.111', 'port': 25863, 'protocol': 'UDP'} 
2026-02-03 00:07:49.900252 -Reason : Allowed Packet : 192.168.211.177 - Packet :{'source_ip': '192.168.211.177', 'destination_ip': '10.10.55.159', 'port': 43492, 'protocol': 'ICMP'} 
2026-02-03 00:07:50.562742 -Reason : Allowed Packet : 192.168.227.144 - Packet :{'source_ip': '192.168.227.144', 'destination_ip': '10.10.236.81', 'port': 25728, 'protocol': 'TCP'} 
2026-02-03 00:07:50.903692 -Reason : Allowed Packet : 192.168.94.242 - Packet :{'source_ip': '192.168.94.242', 'destination_ip': '10.10.243.106', 'port': 4259, 'protocol': 'UDP'} 
2026-02-03 00:07:51.566486 -Reason : Allowed Packet : 192.168.75.247 - Packet :{'source_ip': '192.168.75.247', 'destination_ip': '10.10.106.210', 'port': 47074, 'protocol': 'TCP'} 
2026-02-03 00:07:51.906480 -Reason : Allowed Packet : 192.168.150.6 - Packet :{'source_ip': '192.168.150.6', 'destination_ip': '10.10.154.172', 'port': 18134, 'protocol': 'ICMP'} 
2026-02-03 00:07:52.569074 -Reason : Allowed Packet : 192.168.35.66 - Packet :{'source_ip': '192.168.35.66', 'destination_ip': '10.10.11.57', 'port': 41962, 'protocol': 'TCP'} 
2026-02-03 00:07:52.909637 -Reason : Allowed Packet : 192.168.254.17 - Packet :{'source_ip': '192.168.254.17', 'destination_ip': '10.10.101.43', 'port': 60587, 'protocol': 'ICMP'} 
2026-02-03 00:07:53.572752 -Reason : Allowed Packet : 192.168.73.126 - Packet :{'source_ip': '192.168.73.126', 'destination_ip': '10.10.249.243', 'port': 51872, 'protocol': 'TCP'} 
2026-02-03 00:07:53.912517 -Reason : Allowed Packet : 192.168.247.49 - Packet :{'source_ip': '192.168.247.49', 'destination_ip': '10.10.67.59', 'port': 59231, 'protocol': 'TCP'} 
2026-02-03 00:07:54.573528 -Reason : Allowed Packet : 192.168.224.192 - Packet :{'source_ip': '192.168.224.192', 'destination_ip': '10.10.253.156', 'port': 57211, 'protocol': 'ICMP'} 
2026-02-03 00:07:54.915141 -Reason : Allowed Packet : 192.168.138.114 - Packet :{'source_ip': '192.168.138.114', 'destination_ip': '10.10.19.46', 'port': 41507, 'protocol': 'UDP'} 
2026-02-03 00:07:55.575415 -Reason : Allowed Packet : 192.168.224.152 - Packet :{'source_ip': '192.168.224.152', 'destination_ip': '10.10.201.27', 'port': 66007, 'protocol': 'TCP'} 
2026-02-03 00:07:55.916095 -Reason : Allowed Packet : 192.168.241.57 - Packet :{'source_ip': '192.168.241.57', 'destination_ip': '10.10.225.42', 'port': 2666, 'protocol': 'UDP'} 
2026-02-03 00:07:56.577510 -Reason : Allowed Packet : 192.168.136.215 - Packet :{'source_ip': '192.168.136.215', 'destination_ip': '10.10.44.46', 'port': 62635, 'protocol': 'ICMP'} 
