2026-02-03 00:06:47.344910 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.0.139', 'destination_ip': '10.10.180.254', 'port': 18709, 'protocol': 'UDP'} 
2026-02-03 00:06:53.363785 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.79.254', 'destination_ip': '10.10.130.252', 'port': 55554, 'protocol': 'TCP'} 
2026-02-03 00:06:53.725551 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.56.154', 'destination_ip': '10.10.173.72', 'port': 8250, 'protocol': 'UDP'} 
2026-02-03 00:06:54.373333 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.158.131', 'destination_ip': '10.10.216.23', 'port': 51302, 'protocol': 'TCP'} 
2026-02-03 00:06:54.727823 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.184.61', 'destination_ip': '10.10.220.203', 'port': 5096, 'protocol': 'ICMP'} 
2026-02-03 00:06:55.386308 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.107.159', 'destination_ip': '10.10.146.111', 'port': 22551, 'protocol': 'UDP'} 
2026-02-03 00:06:55.731312 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.159.212', 'destination_ip': '10.10.0.190', 'port': 19405, 'protocol': 'ICMP'} 
2026-02-03 00:06:56.388647 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.102.32', 'destination_ip': '10.10.112.22', 'port': 21541, 'protocol': 'UDP'} 
2026-02-03 00:06:56.734375 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.86.113', 'destination_ip': '10.10.152.90', 'port': 62276, 'protocol': 'TCP'} 
2026-02-03 00:06:57.392832 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.126.222', 'destination_ip': '10.10.87.191', 'port': 5478, 'protocol': 'ICMP'} 
2026-02-03 00:06:57.738470 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.168.50', 'destination_ip': '10.10.73.251', 'port': 2609, 'protocol': 'ICMP'} 
2026-02-03 00:06:58.396097 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.152.119', 'destination_ip': '10.10.178.8', 'port': 40050, 'protocol': 'ICMP'} 
2026-02-03 00:06:58.742415 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.14.68', 'destination_ip': '10.10.141.94', 'port': 11844, 'protocol': 'TCP'} 
2026-02-03 00:06:59.400200 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.236.90', 'destination_ip': '10.10.219.154', 'port': 42001, 'protocol': 'ICMP'} 
2026-02-03 00:06:59.746970 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.66.200', 'destination_ip': '10.10.18.136', 'port': 35098, 'protocol': 'UDP'} 
2026-02-03 00:07:00.402905 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.144.113', 'destination_ip': '10.10.94.234', 'port': 46339, 'protocol': 'UDP'} 
2026-02-03 00:07:00.750035 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.90.139', 'destination_ip': '10.10.187.85', 'port': 24220, 'protocol': 'TCP'} 
2026-02-03 00:07:01.413225 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.32.129', 'destination_ip': '10.10.100.76', 'port': 47775, 'protocol': 'ICMP'} 
2026-02-03 00:07:01.753738 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.79.120', 'destination_ip': '10.10.211.172', 'port': 62485, 'protocol': 'ICMP'} 
2026-02-03 00:07:02.424481 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.249.83', 'destination_ip': '10.10.93.182', 'port': 17178, 'protocol': 'ICMP'} 
2026-02-03 00:07:02.756501 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.207.50', 'destination_ip': '10.10.216.177', 'port': 52955, 'protocol': 'UDP'} 
2026-02-03 00:07:03.427981 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.145.246', 'destination_ip': '10.10.122.236', 'port': 26307, 'protocol': 'ICMP'} 
2026-02-03 00:07:03.759215 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.31.152', 'destination_ip': '10.10.71.163', 'port': 63002, 'protocol': 'UDP'} 
2026-02-03 00:07:04.430138 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.87.18', 'destination_ip': '10.10.239.253', 'port': 48236, 'protocol': 'TCP'} 
2026-02-03 00:07:04.760905 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.161.78', 'destination_ip': '10.10.110.245', 'port': 53775, 'protocol': 'UDP'} 
2026-02-03 00:07:05.431597 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.24.139', 'destination_ip': '10.10.73.210', 'port': 28787, 'protocol': 'TCP'} 
2026-02-03 00:07:05.762723 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.122.171', 'destination_ip': '10.10.180.68', 'port': 36082, 'protocol': 'TCP'} 
2026-02-03 00:07:06.434122 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.124.105', 'destination_ip': '10.10.46.214', 'port': 32585, 'protocol': 'UDP'} 
2026-02-03 00:07:06.765973 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.232.85', 'destination_ip': '10.10.158.138', 'port': 39623, 'protocol': 'UDP'} 
2026-02-03 00:07:07.435752 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.15.207', 'destination_ip': '10.10.4.165', 'port': 6489, 'protocol': 'ICMP'} 
2026-02-03 00:07:07.766901 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.219.234', 'destination_ip': '10.10.132.138', 'port': 42137, 'protocol': 'UDP'} 
2026-02-03 00:07:08.439514 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.56.13', 'destination_ip': '10.10.159.81', 'port': 63473, 'protocol': 'ICMP'} 
2026-02-03 00:07:08.769992 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.124.154', 'destination_ip': '10.10.177.132', 'port': 3945, 'protocol': 'ICMP'} 
2026-02-03 00:07:09.441985 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.81.0', 'destination_ip': '10.10.49.134', 'port': 31297, 'protocol': 'TCP'} 
2026-02-03 00:07:09.773737 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.18.165', 'destination_ip': '10.10.10.219', 'port': 16334, 'protocol': 'UDP'} 
2026-02-03 00:07:10.444715 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.221.136', 'destination_ip': '10.10.115.24', 'port': 59789, 'protocol': 'ICMP'} 
2026-02-03 00:07:10.775586 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.199.122', 'destination_ip': '10.10.232.36', 'port': 39602, 'protocol': 'ICMP'} 
2026-02-03 00:07:11.446898 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.133.9', 'destination_ip': '10.10.140.140', 'port': 38460, 'protocol': 'TCP'} 
2026-02-03 00:07:11.777661 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.56.211', 'destination_ip': '10.10.34.113', 'port': 33746, 'protocol': 'ICMP'} 
2026-02-03 00:07:12.448436 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.35.177', 'destination_ip': '10.10.170.147', 'port': 12483, 'protocol': 'ICMP'} 
2026-02-03 00:07:12.782144 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.119.119', 'destination_ip': '10.10.218.30', 'port': 57469, 'protocol': 'ICMP'} 
2026-02-03 00:07:13.449989 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.146.82', 'destination_ip': '10.10.46.61', 'port': 33749, 'protocol': 'UDP'} 
2026-02-03 00:07:13.784604 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.194.252', 'destination_ip': '10.10.123.95', 'port': 22688, 'protocol': 'ICMP'} 
2026-02-03 00:07:14.452123 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.171.203', 'destination_ip': '10.10.168.94', 'port': 5218, 'protocol': 'ICMP'} 
2026-02-03 00:07:14.785948 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.64.184', 'destination_ip': '10.10.198.166', 'port': 28898, 'protocol': 'TCP'} 
2026-02-03 00:07:15.454551 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.221.86', 'destination_ip': '10.10.253.212', 'port': 18610, 'protocol': 'TCP'} 
2026-02-03 00:07:15.787574 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.6.57', 'destination_ip': '10.10.79.155', 'port': 9124, 'protocol': 'UDP'} 
2026-02-03 00:07:16.456250 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.120.239', 'destination_ip': '10.10.116.209', 'port': 25416, 'protocol': 'TCP'} 
2026-02-03 00:07:16.789357 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.147.209', 'destination_ip': '10.10.56.218', 'port': 11231, 'protocol': 'TCP'} 
2026-02-03 00:07:17.459458 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.34.43', 'destination_ip': '10.10.149.126', 'port': 6240, 'protocol': 'UDP'} 
2026-02-03 00:07:17.792357 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.201.211', 'destination_ip': '10.10.176.1', 'port': 65505, 'protocol': 'TCP'} 
2026-02-03 00:07:18.460658 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.73.102', 'destination_ip': '10.10.178.21', 'port': 43041, 'protocol': 'ICMP'} 
2026-02-03 00:07:18.794521 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.227.243', 'destination_ip': '10.10.100.31', 'port': 44973, 'protocol': 'TCP'} 
2026-02-03 00:07:19.463215 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.28.144', 'destination_ip': '10.10.85.231', 'port': 41168, 'protocol': 'TCP'} 
2026-02-03 00:07:19.799147 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.93.121', 'destination_ip': '10.10.39.62', 'port': 16898, 'protocol': 'UDP'} 
2026-02-03 00:07:20.465252 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.174.241', 'destination_ip': '10.10.72.64', 'port': 4690, 'protocol': 'UDP'} 
2026-02-03 00:07:20.804209 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.95.103', 'destination_ip': '10.10.220.34', 'port': 974, 'protocol': 'TCP'} 
2026-02-03 00:07:21.467574 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.217.111', 'destination_ip': '10.10.162.0', 'port': 29047, 'protocol': 'TCP'} 
2026-02-03 00:07:21.806700 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.163.169', 'destination_ip': '10.10.180.235', 'port': 22907, 'protocol': 'ICMP'} 
2026-02-03 00:07:22.471721 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.248.157', 'destination_ip': '10.10.145.136', 'port': 32314, 'protocol': 'TCP'} 
2026-02-03 00:07:22.808538 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.60.25', 'destination_ip': '10.10.68.233', 'port': 13013, 'protocol': 'ICMP'} 
2026-02-03 00:07:23.473963 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.110.154', 'destination_ip': '10.10.45.135', 'port': 25417, 'protocol': 'TCP'} 
2026-02-03 00:07:23.812484 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.220.105', 'destination_ip': '10.10.35.144', 'port': 51047, 'protocol': 'ICMP'} 
2026-02-03 00:07:24.476230 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.214.91', 'destination_ip': '10.10.66.136', 'port': 56844, 'protocol': 'TCP'} 
2026-02-03 00:07:24.814710 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.9.119', 'destination_ip': '10.10.115.11', 'port': 12422, 'protocol': 'UDP'} 
2026-02-03 00:07:25.478948 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.42.86', 'destination_ip': '10.10.80.135', 'port': 50913, 'protocol': 'TCP'} 
2026-02-03 00:07:25.818519 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.62.230', 'destination_ip': '10.10.182.116', 'port': 30305, 'protocol': 'UDP'} 
2026-02-03 00:07:26.480951 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.165.127', 'destination_ip': '10.10.204.247', 'port': 32116, 'protocol': 'UDP'} 
2026-02-03 00:07:26.819510 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.25.78', 'destination_ip': '10.10.32.188', 'port': 38787, 'protocol': 'UDP'} 
2026-02-03 00:07:27.484436 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.61.36', 'destination_ip': '10.10.163.60', 'port': 13356, 'protocol': 'ICMP'} 
2026-02-03 00:07:27.822241 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.181.104', 'destination_ip': '10.10.7.10', 'port': 7057, 'protocol': 'ICMP'} 
2026-02-03 00:07:28.486569 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.34.201', 'destination_ip': '10.10.189.85', 'port': 286, 'protocol': 'TCP'} 
2026-02-03 00:07:28.824448 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.132.11', 'destination_ip': '10.10.149.75', 'port': 10636, 'protocol': 'TCP'} 
2026-02-03 00:07:29.487799 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.153.86', 'destination_ip': '10.10.38.121', 'port': 62280, 'protocol': 'UDP'} 
2026-02-03 00:07:29.825887 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.181.159', 'destination_ip': '10.10.231.153', 'port': 3288, 'protocol': 'TCP'} 
2026-02-03 00:07:30.489384 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.75.62', 'destination_ip': '10.10.86.76', 'port': 9139, 'protocol': 'UDP'} 
2026-02-03 00:07:30.828880 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.199.36', 'destination_ip': '10.10.40.160', 'port': 44866, 'protocol': 'UDP'} 
2026-02-03 00:07:31.493567 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.46.189', 'destination_ip': '10.10.221.125', 'port': 44476, 'protocol': 'ICMP'} 
2026-02-03 00:07:31.830948 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.55.55', 'destination_ip': '10.10.111.44', 'port': 47181, 'protocol': 'TCP'} 
2026-02-03 00:07:32.497146 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.218.121', 'destination_ip': '10.10.62.108', 'port': 28974, 'protocol': 'TCP'} 
2026-02-03 00:07:32.832707 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.95.6', 'destination_ip': '10.10.64.44', 'port': 9820, 'protocol': 'UDP'} 
2026-02-03 00:07:33.499372 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.244.76', 'destination_ip': '10.10.239.146', 'port': 51637, 'protocol': 'ICMP'} 
2026-02-03 00:07:33.836074 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.230.138', 'destination_ip': '10.10.24.19', 'port': 35579, 'protocol': 'ICMP'} 
2026-02-03 00:07:34.503224 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.237.214', 'destination_ip': '10.10.68.17', 'port': 40363, 'protocol': 'UDP'} 
2026-02-03 00:07:34.839721 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.184.36', 'destination_ip': '10.10.124.55', 'port': 28781, 'protocol': 'ICMP'} 
2026-02-03 00:07:35.505787 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.143.65', 'destination_ip': '10.10.90.137', 'port': 3877, 'protocol': 'TCP'} 
2026-02-03 00:07:35.842840 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.131.147', 'destination_ip': '10.10.239.214', 'port': 44575, 'protocol': 'UDP'} 
2026-02-03 00:07:36.507179 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.160.199', 'destination_ip': '10.10.80.108', 'port': 5874, 'protocol': 'ICMP'} 
2026-02-03 00:07:36.845488 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.211.155', 'destination_ip': '10.10.148.208', 'port': 17934, 'protocol': 'UDP'} 
2026-02-03 00:07:37.512069 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.102.46', 'destination_ip': '10.10.218.63', 'port': 49836, 'protocol': 'ICMP'} 
2026-02-03 00:07:37.847252 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.3.216', 'destination_ip': '10.10.45.106', 'port': 20548, 'protocol': 'UDP'} 
2026-02-03 00:07:38.516135 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.246.218', 'destination_ip': '10.10.120.235', 'port': 62167, 'protocol': 'TCP'} 
2026-02-03 00:07:38.853557 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.120.177', 'destination_ip': '10.10.176.238', 'port': 46800, 'protocol': 'ICMP'} 
2026-02-03 00:07:39.520439 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.9.205', 'destination_ip': '10.10.229.251', 'port': 21965, 'protocol': 'ICMP'} 
2026-02-03 00:07:39.857545 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.210.209', 'destination_ip': '10.10.105.209', 'port': 61823, 'protocol': 'ICMP'} 
2026-02-03 00:07:40.523744 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.32.131', 'destination_ip': '10.10.129.59', 'port': 56206, 'protocol': 'UDP'} 
2026-02-03 00:07:40.861031 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.241.195', 'destination_ip': '10.10.101.165', 'port': 50968, 'protocol': 'UDP'} 
2026-02-03 00:07:41.527315 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.92.118', 'destination_ip': '10.10.196.207', 'port': 7968, 'protocol': 'TCP'} 
2026-02-03 00:07:41.863479 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.177.22', 'destination_ip': '10.10.76.232', 'port': 19634, 'protocol': 'ICMP'} 
2026-02-03 00:07:42.531109 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.137.230', 'destination_ip': '10.10.48.143', 'port': 49199, 'protocol': 'ICMP'} 
2026-02-03 00:07:42.867363 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.104.112', 'destination_ip': '10.10.23.179', 'port': 4379, 'protocol': 'TCP'} 
2026-02-03 00:07:43.533682 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.107.84', 'destination_ip': '10.10.145.167', 'port': 23754, 'protocol': 'TCP'} 
2026-02-03 00:07:43.871096 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.106.226', 'destination_ip': '10.10.136.41', 'port': 7846, 'protocol': 'UDP'} 
2026-02-03 00:07:44.535947 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.57.75', 'destination_ip': '10.10.167.112', 'port': 29424, 'protocol': 'ICMP'} 
2026-02-03 00:07:44.874405 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.149.248', 'destination_ip': '10.10.38.16', 'port': 37577, 'protocol': 'TCP'} 
2026-02-03 00:07:45.541375 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.42.244', 'destination_ip': '10.10.193.158', 'port': 7306, 'protocol': 'UDP'} 
2026-02-03 00:07:45.878969 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.217.15', 'destination_ip': '10.10.164.189', 'port': 30209, 'protocol': 'TCP'} 
2026-02-03 00:07:46.547048 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.251.167', 'destination_ip': '10.10.15.168', 'port': 18293, 'protocol': 'ICMP'} 
2026-02-03 00:07:46.882191 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.9.144', 'destination_ip': '10.10.166.126', 'port': 15920, 'protocol': 'ICMP'} 
2026-02-03 00:07:47.550574 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.93.50', 'destination_ip': '10.10.238.17', 'port': 18554, 'protocol': 'ICMP'} 
2026-02-03 00:07:47.887389 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.68.107', 'destination_ip': '10.10.117.42', 'port': 33678, 'protocol': 'UDP'} 
2026-02-03 00:07:48.553900 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.171.153', 'destination_ip': '10.10.208.135', 'port': 26316, 'protocol': 'ICMP'} 
2026-02-03 00:07:48.894237 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.79.17', 'destination_ip': '10.10.158.24', 'port': 21872, 'protocol': 'ICMP'} 
2026-02-03 00:07:49.558480 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.213.241', 'destination_ip': '10.10.134.111', 'port': 25863, 'protocol': 'UDP'} 
2026-02-03 00:07:49.899252 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.211.177', 'destination_ip': '10.10.55.159', 'port': 43492, 'protocol': 'ICMP'} 
2026-02-03 00:07:50.561719 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.227.144', 'destination_ip': '10.10.236.81', 'port': 25728, 'protocol': 'TCP'} 
2026-02-03 00:07:50.902686 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.94.242', 'destination_ip': '10.10.243.106', 'port': 4259, 'protocol': 'UDP'} 
2026-02-03 00:07:51.565292 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.75.247', 'destination_ip': '10.10.106.210', 'port': 47074, 'protocol': 'TCP'} 
2026-02-03 00:07:51.904991 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.150.6', 'destination_ip': '10.10.154.172', 'port': 18134, 'protocol': 'ICMP'} 
2026-02-03 00:07:52.568041 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.35.66', 'destination_ip': '10.10.11.57', 'port': 41962, 'protocol': 'TCP'} 
2026-02-03 00:07:52.907620 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.254.17', 'destination_ip': '10.10.101.43', 'port': 60587, 'protocol': 'ICMP'} 
2026-02-03 00:07:53.570732 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.73.126', 'destination_ip': '10.10.249.243', 'port': 51872, 'protocol': 'TCP'} 
2026-02-03 00:07:53.911508 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.247.49', 'destination_ip': '10.10.67.59', 'port': 59231, 'protocol': 'TCP'} 
2026-02-03 00:07:54.573528 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.224.192', 'destination_ip': '10.10.253.156', 'port': 57211, 'protocol': 'ICMP'} 
2026-02-03 00:07:54.914604 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.138.114', 'destination_ip': '10.10.19.46', 'port': 41507, 'protocol': 'UDP'} 
2026-02-03 00:07:55.574847 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.224.152', 'destination_ip': '10.10.201.27', 'port': 66007, 'protocol': 'TCP'} 
2026-02-03 00:07:55.916095 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.241.57', 'destination_ip': '10.10.225.42', 'port': 2666, 'protocol': 'UDP'} 
2026-02-03 00:07:56.576417 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.136.215', 'destination_ip': '10.10.44.46', 'port': 62635, 'protocol': 'ICMP'} 
2026-02-03 00:07:56.918978 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.141.156', 'destination_ip': '10.10.60.143', 'port': 14757, 'protocol': 'TCP'} 
2026-02-03 00:07:57.579583 -Reasopm : Blocked_protocol : UDP - Packet :{'source_ip': '192.168.71.190', 'destination_ip': '10.10.175.191', 'port': 54202, 'protocol': 'UDP'} 
2026-02-03 00:07:57.921272 -Reasopm : Blocked_protocol : ICMP - Packet :{'source_ip': '192.168.131.3', 'destination_ip': '10.10.52.65', 'port': 62385, 'protocol': 'ICMP'} 
2026-02-03 00:07:58.582806 -Reasopm : Blocked_protocol : TCP - Packet :{'source_ip': '192.168.91.7', 'destination_ip': '10.10.55.109', 'port': 46072, 'protocol': 'TCP'} 
